,JULD,MLD
0,2022-11-21 07:25:00.000000000,23.315012964548334
1,2022-11-29 02:26:24.000000000,3.9629112993550284
2,2022-12-11 21:07:55.002263296,43.61074638047553
3,2022-12-25 09:04:51.000971264,7.762212480406056
4,2023-01-04 16:14:39.001736960,29.736646348523365
5,2023-01-14 22:18:36.002386432,41.62288566604878
6,2023-01-30 11:34:00.000000000,11.112394209677
7,2023-02-01 14:25:19.001538560,33.70412619592992
8,2023-02-04 10:51:57.001146880,23.684793574437354
9,2023-02-09 15:31:00.000000000,28.176303243637296
10,2023-02-13 17:30:45.001867264,25.679058900037052
11,2023-02-14 16:56:19.001798144,49.947396316395256
12,2023-02-18 23:33:00.000000000,42.758781830119865
13,2023-02-24 00:15:31.000022016,33.610696127506436
14,2023-02-24 23:02:11.002470400,57.372756792505236
15,2023-03-01 03:17:00.000000000,0.9921954201328296
16,2023-03-06 07:01:22.000752640,21.51479278901702
17,2023-03-07 05:08:13.000547840,59.44835812244806
18,2023-03-11 11:28:00.000000000,11.211749578011826
19,2023-03-16 13:39:59.001451520,19.82806593970748
20,2023-03-17 11:54:27.001258496,56.13172066957005
21,2023-03-21 06:24:27.000678400,27.755498682826865
22,2023-03-25 16:47:59.001784832,51.16719818997682
23,2023-03-26 20:05:17.002152960,37.9695526876375
24,2023-03-27 18:01:26.001932288,69.25565366234513
25,2023-03-27 21:03:58.002256896,49.58292503863036
26,2023-03-31 04:23:57.000462336,43.61272911014534
27,2023-04-03 20:54:38.002224128,71.19922518189135
28,2023-04-04 23:02:09.002470400,57.42377534208339
29,2023-04-06 02:33:58.000262144,51.45778873521085
30,2023-04-06 21:11:02.002268672,49.581660384842735
31,2023-04-10 02:12:51.000231936,59.37038737857159
32,2023-04-14 03:30:04.000365568,79.10465949077987
33,2023-04-15 06:08:41.000655360,56.48099388504938
34,2023-04-16 09:23:05.000998912,56.32632365791306
35,2023-04-16 20:22:12.002177536,57.51416503224732
36,2023-04-20 01:01:14.000109056,69.37659609448701
37,2023-04-24 11:45:55.001245696,79.40030468358087
38,2023-04-25 12:22:32.001319424,59.90222322970678
39,2023-04-26 16:32:03.001763328,61.31257910522351
40,2023-04-26 19:44:36.002102272,63.46233836981927
41,2023-04-29 23:14:16.002487808,77.30141155177591
42,2023-05-07 18:30:56.001974784,36.48348070155953
43,2023-05-12 13:41:43.001454080,184.2674346634674
44,2023-05-16 18:47:19.001999360,81.30460220070358
45,2023-05-18 01:33:33.000155136,37.662931170781036
46,2023-05-26 18:37:14.001985024,65.44180351849383
47,2023-05-27 12:05:54.001294848,89.09542610737785
48,2023-05-28 07:49:23.000822272,46.14086311329298
49,2023-06-05 19:08:31.002050048,89.33226879840122
50,2023-06-06 13:56:52.001476096,87.24748097383659
51,2023-06-09 13:55:04.001474560,124.92469790851678
52,2023-06-15 05:53:25.000613376,172.41295261277912
53,2023-06-15 19:25:24.002074624,89.2314552897876
54,2023-06-17 01:03:45.000111616,128.8685901540267
55,2023-06-17 01:35:43.000158208,136.74769873861806
56,2023-06-19 20:54:14.002224128,122.84511673303898
57,2023-06-21 15:49:10.001680384,55.51007197990001
58,2023-06-25 19:33:16.002086400,95.17707717580495
59,2023-06-27 08:06:05.000866816,152.60690363208724
60,2023-06-27 08:14:36.000878592,91.20666167681021
61,2023-06-29 03:50:48.000000000,126.41145054246032
62,2023-06-30 03:52:26.000397312,85.20709179564902
